data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
7536421,8,ALB837,837,1/11/2021,2021,1,Protests,Peaceful protest,Protesters (Albania),Students (Albania),6,,,0,60,Europe,Albania,Elbasan,Elbasan,,Bradashesh,41.105,20.0225,1,Albanian Daily News; Exit Albania,National,"On 11 January 2021, primary school students protested in Bradashesh against the lack of heating in their school. [size=no report]",0,1611088488,ALB
7536735,8,ALB838,838,1/11/2021,2021,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Fier,Fier,,Fier,40.7239,19.5561,1,Koha Jone,National,"On 11 January 2021, land owners protested in Fier against the expropriation of their land for the construction of a hospital. [size=no report]",0,1611088488,ALB
7459535,8,ALB835,835,1/8/2021,2021,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Shkoder,Shkoder,,Theth,42.3947,19.775,1,Koha Jone,National,"On 8 January 2021, residents of the village protested in Theth against the electricity shortages and communications problems that resulted from a snow storm. [size=no report]",0,1610472179,ALB
7458960,8,ALB836,836,1/6/2021,2021,1,Protests,Protest with intervention,Protesters (Albania),,6,Police Forces of Albania (2013-),,1,16,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Koha Jone; NOA,National,"On 6 January 2021, Albanian police detained six people during a protest outside of the government headquarters in Tirana. The demonstrators were demanding more transparency in the maritime border negotiations with Greece. [size=no report]",0,1610472167,ALB
7459158,8,ALB819,819,12/31/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),Health Workers (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 31 December 2020, doctors protested outside the Mother Theresa Hospital in Tirana, demonstrating against the dismissal of their colleague Allkja. [size=no report]",0,1610472170,ALB
7459159,8,ALB818,818,12/22/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),Alliance for Protection of the National Theater,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Albanian Daily News,National,"On 22 December 2020, activists from the Alliance for Protection of the National Theater protested in Tirana, demanding the resignation of police chief Veliu. The protest was in response to police violence used against the four detainees days before. [size=no report]",0,1610472170,ALB
7459607,8,ALB817,817,12/21/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),Alliance for Protection of the National Theater,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,NOA,National,"On 21 December 2020, activists from the Alliance for Protection of the National Theater protested in Tirana, demanding the resignation of police chief Veliu. The protest was in response to police violence used against the four detainees days before. [size=no report]",0,1610472181,ALB
7458957,8,ALB816,816,12/20/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),Alliance for Protection of the National Theater,6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Exit Albania; Albanian Daily News,National,"On 20 December 2020, dozens of activists from the Alliance for Protection of the National Theater protested in Tirana, demanding the resignation of police chief Veliu. The protest was in response to police violence used against the four detainees the day before. [size=dozens]",0,1610472167,ALB
7459537,8,ALB821,821,12/20/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Shkoder,Puke,Rrape,Prozhm,42.0264,19.973,1,Koha Jone,National,"On 20 December 2020, residents of the village protested in Prozhm against the construction of the Durres-Kukes highway. [size=no report]",0,1610472179,ALB
7459423,8,ALB834,834,12/19/2020,2020,1,Violence against civilians,Sexual violence,Police Forces of Albania (2013-),,1,Civilians (Albania),Alliance for Protection of the National Theater,7,17,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Exit Albania,National,"On 19 December 2020, Albanian police detained for four hours four activists from the Alliance for Protection of the National Theater in Tirana. The activists were allegedly physically and sexually assaulted by the Police.",0,1610472176,ALB
7459541,8,ALB831,831,12/19/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),,6,,,0,60,Europe,Albania,Shkoder,Shkoder,,Shkoder,42.0675,19.5131,1,Koha Jone,National,"On 19 December 2020, people protested in Shkoder over the recent police killing of Klodian Rasha. [size=no report]",0,1610472179,ALB
7459536,8,ALB820,820,12/16/2020,2020,1,Protests,Peaceful protest,Protesters (Albania),Students (Albania),6,,,0,60,Europe,Albania,Tirana,Tirana,,Tirana,41.3275,19.8189,1,Koha Jone,National,"On 16 December 2020, students protested outside of the Ministry of Education in Tirana, demanding the resignation of Minister Kushi over his recent comments about young people. [size=no report]",0,1610472179,ALB
7459605,8,ALB833,833,12/15/2020,2020,1,Protests,Protest with intervention,Protesters (Albania),,6,Police Forces of Albania (2013-),,1,16,Europe,Albania,Durres,Durres,,Durres,41.3231,19.4414,1,NOA,National,"On 15 December 2020, people protested in Durres against the recent police killing of Klodian Rasha. Five demonstrators were detained by the police. [size=no report]",0,1610472181,ALB
